BaseDateTime,index,LAT,LON,SOG,COG,Heading,VesselType
2024-07-12 00:00:00,2020-01-01 14:10:00,37.00662,-76.02419,6.9,128.8,115.0,37.0
2024-07-12 00:00:05,2020-01-01 14:10:30,37.00662,-76.02419,6.9,128.8,115.0,37.0
2024-07-12 00:00:10,2020-01-01 14:11:00,37.00662,-76.02419,6.9,128.8,115.0,37.0
2024-07-12 00:00:15,2020-01-01 14:11:30,37.00662,-76.02419,6.9,128.8,115.0,37.0
2024-07-12 00:00:20,2020-01-01 14:12:00,37.0048,-76.02136,6.8,128.5,115.0,37.0
2024-07-12 00:00:25,2020-01-01 14:12:30,37.0048,-76.02136,6.8,128.5,115.0,37.0
2024-07-12 00:00:30,2020-01-01 14:13:00,37.0048,-76.02136,6.8,128.5,115.0,37.0
2024-07-12 00:00:35,2020-01-01 14:13:30,37.00301,-76.01859,7.0,129.6,117.0,37.0
2024-07-12 00:00:40,2020-01-01 14:14:00,37.00301,-76.01859,7.0,129.6,117.0,37.0
2024-07-12 00:00:45,2020-01-01 14:14:30,37.00301,-76.01859,7.0,129.6,117.0,37.0
2024-07-12 00:00:50,2020-01-01 14:15:00,37.00115,-76.01567,7.0,122.3,111.0,37.0
2024-07-12 00:00:55,2020-01-01 14:15:30,37.00115,-76.01567,7.0,122.3,111.0,37.0
2024-07-12 00:01:00,2020-01-01 14:16:00,37.00115,-76.01567,7.0,122.3,111.0,37.0
2024-07-12 00:01:05,2020-01-01 14:16:30,36.99985,-76.01263,7.2,114.3,103.0,37.0
2024-07-12 00:01:10,2020-01-01 14:17:00,36.99985,-76.01263,7.2,114.3,103.0,37.0
2024-07-12 00:01:15,2020-01-01 14:17:30,36.99985,-76.01263,7.2,114.3,103.0,37.0
2024-07-12 00:01:20,2020-01-01 14:18:00,36.99849,-76.00918,7.4,119.1,106.0,37.0
2024-07-12 00:01:25,2020-01-01 14:18:30,36.99849,-76.00918,7.4,119.1,106.0,37.0
2024-07-12 00:01:30,2020-01-01 14:19:00,36.99849,-76.00918,7.4,119.1,106.0,37.0
2024-07-12 00:01:35,2020-01-01 14:19:30,36.99669,-76.00594,8.0,141.9,130.0,37.0
2024-07-12 00:01:40,2020-01-01 14:20:00,36.99669,-76.00594,8.0,141.9,130.0,37.0
2024-07-12 00:01:45,2020-01-01 14:20:30,36.99669,-76.00594,8.0,141.9,130.0,37.0
2024-07-12 00:01:50,2020-01-01 14:21:00,36.99669,-76.00594,8.0,141.9,130.0,37.0
2024-07-12 00:01:55,2020-01-01 14:21:30,36.9913,-76.00309,8.7,156.2,147.0,37.0
2024-07-12 00:02:00,2020-01-01 14:22:00,36.9913,-76.00309,8.7,156.2,147.0,37.0
2024-07-12 00:02:05,2020-01-01 14:22:30,36.9913,-76.00309,8.7,156.2,147.0,37.0
2024-07-12 00:02:10,2020-01-01 14:23:00,36.9913,-76.00309,8.7,156.2,147.0,37.0
2024-07-12 00:02:15,2020-01-01 14:23:30,36.98793,-76.00128,8.8,157.9,148.0,37.0
2024-07-12 00:02:20,2020-01-01 14:24:00,36.98793,-76.00128,8.8,157.9,148.0,37.0
2024-07-12 00:02:25,2020-01-01 14:24:30,36.98793,-76.00128,8.8,157.9,148.0,37.0
2024-07-12 00:02:30,2020-01-01 14:25:00,36.98466,-75.99945,8.4,155.4,147.0,37.0
2024-07-12 00:02:35,2020-01-01 14:25:30,36.98466,-75.99945,8.4,155.4,147.0,37.0
2024-07-12 00:02:40,2020-01-01 14:26:00,36.98466,-75.99945,8.4,155.4,147.0,37.0
2024-07-12 00:02:45,2020-01-01 14:26:30,36.98176,-75.99777,7.2,155.5,147.0,37.0
2024-07-12 00:02:50,2020-01-01 14:27:00,36.98176,-75.99777,7.2,155.5,147.0,37.0
2024-07-12 00:02:55,2020-01-01 14:27:30,36.98176,-75.99777,7.2,155.5,147.0,37.0
2024-07-12 00:03:00,2020-01-01 14:28:00,36.979,-75.99601,7.0,151.7,144.0,37.0
2024-07-12 00:03:05,2020-01-01 14:28:30,36.979,-75.99601,7.0,151.7,144.0,37.0
2024-07-12 00:03:10,2020-01-01 14:29:00,36.979,-75.99601,7.0,151.7,144.0,37.0
2024-07-12 00:03:15,2020-01-01 14:29:30,36.97647,-75.99435,7.5,150.1,144.0,37.0
2024-07-12 00:03:20,2020-01-01 14:30:00,36.97647,-75.99435,7.5,150.1,144.0,37.0
2024-07-12 00:03:25,2020-01-01 14:30:30,36.97647,-75.99435,7.5,150.1,144.0,37.0
2024-07-12 00:03:30,2020-01-01 14:31:00,36.97647,-75.99435,7.5,150.1,144.0,37.0
2024-07-12 00:03:35,2020-01-01 14:31:30,36.97647,-75.99435,7.5,150.1,144.0,37.0
2024-07-12 00:03:40,2020-01-01 14:32:00,36.97096,-75.99068,7.4,156.7,152.0,37.0
2024-07-12 00:03:45,2020-01-01 14:32:30,36.97096,-75.99068,7.4,156.7,152.0,37.0
2024-07-12 00:03:50,2020-01-01 14:33:00,36.97096,-75.99068,7.4,156.7,152.0,37.0
2024-07-12 00:03:55,2020-01-01 14:33:30,36.97096,-75.99068,7.4,156.7,152.0,37.0
2024-07-12 00:04:00,2020-01-01 14:34:00,36.97096,-75.99068,7.4,156.7,152.0,37.0
2024-07-12 00:04:05,2020-01-01 14:34:30,36.97096,-75.99068,7.4,156.7,152.0,37.0
2024-07-12 00:04:10,2020-01-01 14:35:00,36.96542,-75.98772,7.6,166.9,165.0,37.0
2024-07-12 00:04:15,2020-01-01 14:35:30,36.96542,-75.98772,7.6,166.9,165.0,37.0
2024-07-12 00:04:20,2020-01-01 14:36:00,36.96542,-75.98772,7.6,166.9,165.0,37.0
2024-07-12 00:04:25,2020-01-01 14:36:30,36.96542,-75.98772,7.6,166.9,165.0,37.0
2024-07-12 00:04:30,2020-01-01 14:37:00,36.96214,-75.9866,8.1,166.7,164.0,37.0
2024-07-12 00:04:35,2020-01-01 14:37:30,36.96214,-75.9866,8.1,166.7,164.0,37.0
2024-07-12 00:04:40,2020-01-01 14:38:00,36.96214,-75.9866,8.1,166.7,164.0,37.0
2024-07-12 00:04:45,2020-01-01 14:38:30,36.95992,-75.98588,7.2,164.7,162.0,37.0
2024-07-12 00:04:50,2020-01-01 14:39:00,36.95992,-75.98588,7.2,164.7,162.0,37.0
2024-07-12 00:04:55,2020-01-01 14:39:30,36.95691,-75.98493,7.7,165.4,162.0,37.0
2024-07-12 00:05:00,2020-01-01 14:40:00,36.95691,-75.98493,7.7,165.4,162.0,37.0
2024-07-12 00:05:05,2020-01-01 14:40:30,36.95691,-75.98493,7.7,165.4,162.0,37.0
2024-07-12 00:05:10,2020-01-01 14:41:00,36.95479,-75.98425,8.0,164.0,162.0,37.0
2024-07-12 00:05:15,2020-01-01 14:41:30,36.95479,-75.98425,8.0,164.0,162.0,37.0
2024-07-12 00:05:20,2020-01-01 14:42:00,36.95181,-75.98303,7.0,160.9,164.0,37.0
2024-07-12 00:05:25,2020-01-01 14:42:30,36.95181,-75.98303,7.0,160.9,164.0,37.0
