,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselType
0,2020-01-01 14:11:11,37.00662,-76.02419,6.9,128.8,115.0,37.0
1,2020-01-01 14:12:41,37.0048,-76.02136,6.8,128.5,115.0,37.0
2,2020-01-01 14:14:10,37.00301,-76.01859,7.0,129.6,117.0,37.0
3,2020-01-01 14:15:42,37.00115,-76.01567,7.0,122.3,111.0,37.0
4,2020-01-01 14:17:10,36.99985,-76.01263,7.2,114.3,103.0,37.0
5,2020-01-01 14:18:42,36.99849,-76.00918,7.4,119.1,106.0,37.0
6,2020-01-01 14:20:12,36.99669,-76.00594,8.0,141.9,130.0,37.0
7,2020-01-01 14:22:40,36.9913,-76.00309,8.7,156.2,147.0,37.0
8,2020-01-01 14:24:11,36.98793,-76.00128,8.8,157.9,148.0,37.0
9,2020-01-01 14:25:40,36.98466,-75.99945,8.4,155.4,147.0,37.0
10,2020-01-01 14:27:12,36.98176,-75.99777,7.2,155.5,147.0,37.0
11,2020-01-01 14:28:43,36.979,-75.99601,7.0,151.7,144.0,37.0
12,2020-01-01 14:30:10,36.97647,-75.99435,7.5,150.1,144.0,37.0
13,2020-01-01 14:33:10,36.97096,-75.99068,7.4,156.7,152.0,37.0
14,2020-01-01 14:36:10,36.96542,-75.98772,7.6,166.9,165.0,37.0
15,2020-01-01 14:37:40,36.96214,-75.9866,8.1,166.7,164.0,37.0
16,2020-01-01 14:38:43,36.95992,-75.98588,7.2,164.7,162.0,37.0
17,2020-01-01 14:40:10,36.95691,-75.98493,7.7,165.4,162.0,37.0
18,2020-01-01 14:41:11,36.95479,-75.98425,8.0,164.0,162.0,37.0
19,2020-01-01 14:42:41,36.95181,-75.98303,7.0,160.9,164.0,37.0
20,2020-01-01 14:44:10,36.94904,-75.98168,7.2,157.6,163.0,37.0
21,2020-01-01 14:45:11,36.94718,-75.98073,7.0,156.9,162.0,37.0
22,2020-01-01 14:46:40,36.94457,-75.97927,6.8,155.6,161.0,37.0
23,2020-01-01 14:48:11,36.94203,-75.97779,6.6,155.1,162.0,37.0
24,2020-01-01 14:49:40,36.93912,-75.9763,8.2,158.8,160.0,37.0
25,2020-01-01 14:50:41,36.93693,-75.97529,8.4,160.0,162.0,37.0
26,2020-01-01 14:52:10,36.93389,-75.97379,7.5,156.3,160.0,37.0
27,2020-01-01 14:53:41,36.93093,-75.97215,7.6,153.3,155.0,37.0
28,2020-01-01 14:55:11,36.92803,-75.97065,7.6,159.3,163.0,37.0
29,2020-01-01 14:56:40,36.92501,-75.96929,7.9,159.6,161.0,37.0
30,2020-01-01 14:58:10,36.92181,-75.968,8.2,164.0,167.0,37.0
31,2020-01-01 14:59:11,36.91967,-75.9669,7.9,148.6,143.0,37.0
32,2020-01-01 15:00:10,36.91782,-75.96553,7.2,160.7,163.0,37.0
33,2020-01-01 15:01:40,36.91463,-75.96439,8.1,160.6,161.0,37.0
34,2020-01-01 15:03:10,36.91145,-75.96292,8.1,158.7,155.0,37.0
35,2020-01-01 15:04:11,36.90913,-75.96187,8.7,159.1,156.0,37.0
36,2020-01-01 15:05:12,36.90676,-75.96068,8.9,157.7,151.0,37.0
37,2020-01-01 15:06:41,36.90347,-75.95919,8.3,159.9,154.0,37.0
38,2020-01-01 15:08:10,36.90041,-75.95783,7.5,158.2,149.0,37.0
39,2020-01-01 15:09:40,36.89717,-75.95649,7.9,159.4,151.0,37.0
