,LAT,LON,SOG,COG,Heading,VesselType
2020-01-01 14:10:00,37.050709999999995,-75.84019,7.2,284.4,292.0,31.0
2020-01-01 14:10:30,37.050709999999995,-75.84019,7.2,284.4,292.0,31.0
2020-01-01 14:11:00,37.050709999999995,-75.84019,7.2,284.4,292.0,31.0
2020-01-01 14:11:30,37.050709999999995,-75.84019,7.2,284.4,292.0,31.0
2020-01-01 14:12:00,37.05131,-75.84304,7.3,284.4,292.0,31.0
2020-01-01 14:12:30,37.05131,-75.84304,7.3,284.4,292.0,31.0
2020-01-01 14:13:00,37.05191,-75.84593000000001,7.4,282.8,289.0,31.0
2020-01-01 14:13:30,37.05191,-75.84593000000001,7.4,282.8,289.0,31.0
2020-01-01 14:14:00,37.05191,-75.84593000000001,7.4,282.8,289.0,31.0
2020-01-01 14:14:30,37.05271,-75.85059000000001,7.4,281.2,289.0,31.0
2020-01-01 14:15:00,37.05271,-75.85059000000001,7.4,281.2,289.0,31.0
2020-01-01 14:15:30,37.05271,-75.85059000000001,7.4,281.2,289.0,31.0
2020-01-01 14:16:00,37.05323,-75.85529000000001,7.5,276.3,285.0,31.0
2020-01-01 14:16:30,37.05323,-75.85529000000001,7.5,276.3,285.0,31.0
2020-01-01 14:17:00,37.05323,-75.85529000000001,7.5,276.3,285.0,31.0
2020-01-01 14:17:30,37.05323,-75.85529000000001,7.5,276.3,285.0,31.0
2020-01-01 14:18:00,37.05366,-75.86045,7.5,276.2,286.0,31.0
2020-01-01 14:18:30,37.05366,-75.86045,7.5,276.2,286.0,31.0
2020-01-01 14:19:00,37.05366,-75.86045,7.5,276.2,286.0,31.0
2020-01-01 14:19:30,37.05366,-75.86045,7.5,276.2,286.0,31.0
2020-01-01 14:20:00,37.05395,-75.86351,7.5,276.2,286.0,31.0
2020-01-01 14:20:30,37.05395,-75.86351,7.5,276.2,286.0,31.0
2020-01-01 14:21:00,37.05395,-75.86351,7.5,276.2,286.0,31.0
2020-01-01 14:21:30,37.05442,-75.86907000000001,7.5,275.4,285.0,31.0
2020-01-01 14:22:00,37.05442,-75.86907000000001,7.5,275.4,285.0,31.0
2020-01-01 14:22:30,37.05442,-75.86907000000001,7.5,275.4,285.0,31.0
2020-01-01 14:23:00,37.054649999999995,-75.87213,7.5,276.4,286.0,31.0
2020-01-01 14:23:30,37.054649999999995,-75.87213,7.5,276.4,286.0,31.0
2020-01-01 14:24:00,37.054649999999995,-75.87213,7.5,276.4,286.0,31.0
2020-01-01 14:24:30,37.055009999999996,-75.87656,7.6,275.9,286.0,31.0
2020-01-01 14:25:00,37.055009999999996,-75.87656,7.6,275.9,286.0,31.0
2020-01-01 14:25:30,37.055009999999996,-75.87656,7.6,275.9,286.0,31.0
2020-01-01 14:26:00,37.05535,-75.87956,7.6,278.3,287.0,31.0
2020-01-01 14:26:30,37.05535,-75.87956,7.6,278.3,287.0,31.0
2020-01-01 14:27:00,37.05535,-75.87956,7.6,278.3,287.0,31.0
2020-01-01 14:27:30,37.05596,-75.8844,7.6,278.5,287.0,31.0
2020-01-01 14:28:00,37.05596,-75.8844,7.6,278.5,287.0,31.0
2020-01-01 14:28:30,37.05596,-75.8844,7.6,278.5,287.0,31.0
2020-01-01 14:29:00,37.056329999999996,-75.88742,7.6,278.6,287.0,31.0
2020-01-01 14:29:30,37.056329999999996,-75.88742,7.6,278.6,287.0,31.0
2020-01-01 14:30:00,37.05666,-75.89006,7.0,278.9,289.0,31.0
2020-01-01 14:30:30,37.05666,-75.89006,7.0,278.9,289.0,31.0
2020-01-01 14:31:00,37.05694,-75.89256,6.0,276.7,288.0,31.0
2020-01-01 14:31:30,37.05694,-75.89256,6.0,276.7,288.0,31.0
2020-01-01 14:32:00,37.05694,-75.89256,6.0,276.7,288.0,31.0
2020-01-01 14:32:30,37.057159999999996,-75.89494,6.0,276.0,287.0,31.0
2020-01-01 14:33:00,37.057159999999996,-75.89494,6.0,276.0,287.0,31.0
2020-01-01 14:33:30,37.05739,-75.89738,6.0,276.7,287.0,31.0
2020-01-01 14:34:00,37.05739,-75.89738,6.0,276.7,287.0,31.0
2020-01-01 14:34:30,37.057629999999996,-75.8998,6.0,277.3,288.0,31.0
2020-01-01 14:35:00,37.057629999999996,-75.8998,6.0,277.3,288.0,31.0
2020-01-01 14:35:30,37.057629999999996,-75.8998,6.0,277.3,288.0,31.0
2020-01-01 14:36:00,37.05813,-75.90364000000001,4.8,283.5,294.0,31.0
2020-01-01 14:36:30,37.05813,-75.90364000000001,4.8,283.5,294.0,31.0
2020-01-01 14:37:00,37.05813,-75.90364000000001,4.8,283.5,294.0,31.0
2020-01-01 14:37:30,37.05813,-75.90364000000001,4.8,283.5,294.0,31.0
2020-01-01 14:38:00,37.05836,-75.90575,3.4,276.4,295.0,31.0
2020-01-01 14:38:30,37.05836,-75.90575,3.4,276.4,295.0,31.0
2020-01-01 14:39:00,37.05836,-75.90575,3.4,276.4,295.0,31.0
2020-01-01 14:39:30,37.05836,-75.90575,3.4,276.4,295.0,31.0
2020-01-01 14:40:00,37.05836,-75.90575,3.4,276.4,295.0,31.0
2020-01-01 14:40:30,37.05912,-75.90884,2.8,290.3,307.0,31.0
2020-01-01 14:41:00,37.05912,-75.90884,2.8,290.3,307.0,31.0
2020-01-01 14:41:30,37.05912,-75.90884,2.8,290.3,307.0,31.0
2020-01-01 14:42:00,37.05912,-75.90884,2.8,290.3,307.0,31.0
2020-01-01 14:42:30,37.05943,-75.90922,1.0,257.5,128.0,31.0
2020-01-01 14:43:00,37.05943,-75.90922,1.0,257.5,128.0,31.0
2020-01-01 14:43:30,37.0595,-75.90969,0.1,265.5,224.0,31.0
2020-01-01 14:44:00,37.0595,-75.90969,0.1,265.5,224.0,31.0
2020-01-01 14:44:30,37.0595,-75.90969,0.1,265.5,224.0,31.0
2020-01-01 14:45:00,37.0595,-75.90969,0.1,265.5,224.0,31.0
2020-01-01 14:45:30,37.059529999999995,-75.90916,1.3,89.6,247.0,31.0
2020-01-01 14:46:00,37.059529999999995,-75.90916,1.3,89.6,247.0,31.0
2020-01-01 14:46:30,37.059529999999995,-75.90916,1.3,89.6,247.0,31.0
2020-01-01 14:47:00,37.059529999999995,-75.90916,1.3,89.6,247.0,31.0
2020-01-01 14:47:30,37.05914,-75.90901000000001,3.2,264.9,310.0,31.0
2020-01-01 14:48:00,37.05914,-75.90901000000001,3.2,264.9,310.0,31.0
2020-01-01 14:48:30,37.05914,-75.90901000000001,3.2,264.9,310.0,31.0
2020-01-01 14:49:00,37.05914,-75.90901000000001,3.2,264.9,310.0,31.0
2020-01-01 14:49:30,37.060739999999996,-75.91138000000001,7.4,302.3,304.0,31.0
2020-01-01 14:50:00,37.060739999999996,-75.91138000000001,7.4,302.3,304.0,31.0
2020-01-01 14:50:30,37.060739999999996,-75.91138000000001,7.4,302.3,304.0,31.0
2020-01-01 14:51:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:51:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:52:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:52:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:53:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:53:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:54:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:54:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:55:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:55:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:56:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:56:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:57:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:57:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:58:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:58:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:59:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 14:59:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:00:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:00:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:01:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:01:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:02:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:02:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:03:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:03:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:04:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:04:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:05:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:05:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:06:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:06:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:07:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:07:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:08:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:08:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:09:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:09:30,37.06165,-75.9139,7.9,290.0,293.0,31.0
2020-01-01 15:10:00,37.06165,-75.9139,7.9,290.0,293.0,31.0
